PLZ;Stadt;Lat;Lon;LatMax;LatMin;LonMax;LonMin;Filename
9496;Pobershau,  Marienberg, Germany;506.407.508;132.223.104;506.629.389;506.228.202;132.459.112;131.936.402;09496.json
9509;Pockau-Lengefeld, Germany;507.037.331;132.257.882;50.744.203;50.661.928;13.312.826;131.898.661;09509.json
9514;Pockau-Lengefeld, Germany;50.735.314;131.866.916;50.776.843;506.748.551;132.757.169;131.153.631;09514.json
9518;Großrückerswalde, Germany;506.296.936;13.117.615;50.652.209;50.581.256;13.180.293;13.061.387;09518.json
9526;Heidersdorf, Germany;506.755.977;134.058.582;506.890.263;506.475.367;134.353.135;133.750.977;09526.json
9544;Neuhausen, Germany;506.767.912;134.691.343;50.726.284;50.631.121;13.544.392;13.427.892;09544.json
9548;Deutschneudorf, Germany;506.483.533;134.524.206;506.649.851;50.601.476;13.511.797;134.132.631;09548.json
9557;Flöha, Germany;50.855.488;130.716.773;508.797.619;508.293.464;131.413.541;130.324.265;09557.json
9569;Oederan, Germany;508.736.601;131.795.546;50.932.043;508.112.779;132.551.439;131.180.191;09569.json
9573;Leubsdorf, Germany;508.081.717;13.104.331;50.840.504;507.632.879;132.114.111;13.017.121;09573.json
9575;Eppendorf, Germany;507.922.423;132.432.804;508.347.449;50.763.553;13.310.554;13.193.567;09575.json
9577;Niederwiesa, Germany;508.633.227;130.154.259;50.891.989;508.473.669;13.053.859;129.812.369;09577.json
9579;Grünhainichen, Germany;507.727.755;131.826.447;50.785.057;50.744.952;132.379.889;1.312.841;09579.json
9599;Freiberg, Germany;509.093.863;133.291.918;50.959.695;508.750.791;133.989.229;132.661.861;09599.json
9600;Hauptstraße 25, 09212 Limbach-Oberfrohna, Germany;508.551.044;127.925.156;508.564.533.803;508.537.554.197;127.938.645.803;127.911.666.197;09600.json
9603;Hauptstraße 25, 09212 Limbach-Oberfrohna, Germany;508.551.044;127.925.156;508.564.533.803;508.537.554.197;127.938.645.803;127.911.666.197;09603.json
9618;Großhartmannsdorf, Germany;50.798.815;133.218.443;50.887.435;50.739.959;1.336.192;132.255.189;09618.json
9619;Mulda, Germany;507.612.417;134.192.075;50.826.312;506.744.879;134.829.451;133.365.771;09619.json
9623;Rechenberg-Bienenmühle, Germany;507.357.342;135.527.818;507.766.699;507.089.769;136.521.012;13.461.962;09623.json
9627;Niederbobritzsch,  Bobritzsch-Hilbersdorf, Germany;508.982.426;134.362.756;509.228.655;508.839.339;134.502.112;134.242.303;09627.json
9629;Reinsberg, Germany;510.098.256;133.779.264;51.052.248;50.981.202;1.345.755;133.097.181;09629.json
9633;Halsbrücke, Germany;509.550.368;133.476.849;50.993.138;509.314.279;134.752.869;13.329.195;09633.json
9634;Hirschfeld,  Reinsberg, Germany;510.406.096;133.586.557;51.043.805;510.353.145;133.692.351;133.373.274;09634.json
9638;Lichtenberg, Germany;508.443.096;134.059.465;50.860.732;50.801.642;13.467.636;133.254.009;09638.json
9648;Altmittweida, Germany;50.970.958;129.761.119;51.061.359;509.442.721;13.120.739;128.638.039;09648.json
9661;Hainichen, Germany;509.694.542;131.220.989;510.087.301;509.098.202;132.090.409;130.582.951;09661.json
9669;Frankenberg, Germany;50.918.104;130.685.643;509.648.441;508.743.249;13.165.908;12.987.814;09669.json
